,state,abbreviation,TotalCases,TotalDeaths,Tot_Cases_1M_pop,TotalTests,Tests_per_1M_pop,Population
0,alabama,AL,1312437.0,19658.0,267670.0,7693519.0,1569086.0,4903185.0
1,alaska,AK,251425.0,1252.0,343690.0,4107614.0,5614985.0,731545.0
2,american samoa,AS,6130.0,31.0,,16964.0,,
3,arizona,AZ,2049627.0,30299.0,281592.0,19534476.0,2683780.0,7278717.0
4,arkansas,AR,842439.0,11471.0,279156.0,6928561.0,2295895.0,3017804.0
5,california,CA,9514591.0,91440.0,240801.0,165553649.0,4189935.0,39512223.0
6,colorado,CO,1438905.0,13324.0,249865.0,18263047.0,3171364.0,5758736.0
7,connecticut,CT,806467.0,10941.0,226200.0,15534710.0,4357212.0,3565287.0
8,delaware,DE,274899.0,2956.0,282306.0,1026007.0,1053651.0,973764.0
9,district of columbia,DC,148843.0,1342.0,210901.0,3067883.0,4346989.0,705749.0
10,florida,FL,6157954.0,74435.0,286713.0,58165484.0,2708176.0,21477737.0
11,georgia,GA,2556044.0,38198.0,240741.0,25168138.0,2370456.0,10617423.0
12,guam,GU,48968.0,363.0,,461130.0,,
13,hawaii,HI,274495.0,1451.0,193870.0,3848987.0,2718457.0,1415872.0
14,idaho,ID,450337.0,4939.0,251998.0,2943665.0,1647206.0,1787065.0
15,illinois,IL,3286377.0,38127.0,259345.0,57898053.0,4569040.0,12671821.0
16,indiana,IN,1727818.0,23692.0,256649.0,19905694.0,2956781.0,6732219.0
17,iowa,IA,876666.0,9588.0,277859.0,8492575.0,2691723.0,3155070.0
18,kansas,KS,785916.0,8939.0,269767.0,2269976.0,779173.0,2913314.0
19,kentucky,KY,1350891.0,15925.0,302370.0,13675281.0,3060940.0,4467673.0
20,louisiana,LA,1257148.0,17325.0,270425.0,15750286.0,3388037.0,4648794.0
21,maine,ME,262097.0,2347.0,194982.0,5292444.0,3937209.0,1344212.0
22,maryland,MD,1083424.0,14594.0,179206.0,21069442.0,3485041.0,6045680.0
23,massachusetts,MA,1859460.0,20561.0,269780.0,45013227.0,6530752.0,6892503.0
24,michigan,MI,2501863.0,36218.0,250516.0,25256797.0,2529004.0,9986857.0
25,minnesota,MN,1504982.0,12938.0,266858.0,19479012.0,3453951.0,5639632.0
26,mississippi,MS,806838.0,12466.0,271101.0,6396772.0,2149345.0,2976149.0
27,missouri,MO,1440814.0,20454.0,234759.0,14632189.0,2384091.0,6137428.0
28,montana,MT,277497.0,3400.0,259640.0,2789012.0,2609534.0,1068778.0
29,nebraska,NE,485756.0,4284.0,251114.0,5506012.0,2846355.0,1934408.0
30,nevada,NV,735021.0,10872.0,238631.0,6875532.0,2232203.0,3080156.0
31,new hampshire,NH,323897.0,2531.0,238210.0,4823961.0,3547784.0,1359711.0
32,new jersey,NJ,2381173.0,33678.0,268084.0,17808889.0,2005011.0,8882190.0
33,new mexico,NM,533074.0,7756.0,254229.0,7186213.0,3427181.0,2096829.0
34,new york,NY,5574808.0,69426.0,286570.0,110768718.0,5694007.0,19453561.0
35,north carolina,NC,2744935.0,24644.0,261719.0,26356209.0,2512967.0,10488084.0
36,north dakota,ND,243917.0,2280.0,320075.0,618121.0,811116.0,762062.0
37,northern mariana is,MP,,,,,,
38,ohio,OH,2763123.0,38628.0,236385.0,22272602.0,1905416.0,11689100.0
39,oklahoma,OK,1048017.0,14420.0,264853.0,5473577.0,1383274.0,3956971.0
40,oregon,OR,758879.0,7610.0,179926.0,11545631.0,2737399.0,4217737.0
41,pennsylvania,PA,2907324.0,45147.0,227099.0,26442039.0,2065463.0,12801989.0
42,puerto rico,PR,657428.0,4343.0,194107.0,4268027.0,1260142.0,3386941.0
43,rhode island,RI,391275.0,3577.0,369350.0,7987471.0,7539895.0,1059361.0
44,south carolina,SC,1495762.0,17905.0,290512.0,16507819.0,3206202.0,5148714.0
45,south dakota,SD,239704.0,2927.0,270956.0,2189182.0,2474605.0,884659.0
46,tennessee,TN,2055759.0,26403.0,301026.0,12901180.0,1889127.0,6829174.0
47,texas,TX,6913104.0,88782.0,238417.0,65134273.0,2246328.0,28995881.0
48,utah,UT,948979.0,4777.0,296005.0,9406861.0,2934181.0,3205958.0
49,vermont,VT,131460.0,661.0,210677.0,3639448.0,5832552.0,623989.0
50,virginia,VA,1777813.0,20376.0,208284.0,19172533.0,2246206.0,8535519.0
51,virgin islands,VI,,,,,,
52,washington,WA,1565696.0,12888.0,205610.0,14063770.0,1846877.0,7614893.0
53,west virginia,WV,513953.0,6945.0,286781.0,6190639.0,3454314.0,1792147.0
54,wisconsin,WI,1669592.0,14594.0,286752.0,16506830.0,2835039.0,5822434.0
55,wyoming,WY,157861.0,1820.0,272758.0,1396443.0,2412823.0,578759.0
