,state,abbreviation
0,alabama,AL
1,alaska,AK
2,american samoa,AS
3,arizona,AZ
4,arkansas,AR
5,california,CA
6,colorado,CO
7,connecticut,CT
8,delaware,DE
9,district of columbia,DC
10,florida,FL
11,georgia,GA
12,guam,GU
13,hawaii,HI
14,idaho,ID
15,illinois,IL
16,indiana,IN
17,iowa,IA
18,kansas,KS
19,kentucky,KY
20,louisiana,LA
21,maine,ME
22,maryland,MD
23,massachusetts,MA
24,michigan,MI
25,minnesota,MN
26,mississippi,MS
27,missouri,MO
28,montana,MT
29,nebraska,NE
30,nevada,NV
31,new hampshire,NH
32,new jersey,NJ
33,new mexico,NM
34,new york,NY
35,north carolina,NC
36,north dakota,ND
37,northern mariana is,MP
38,ohio,OH
39,oklahoma,OK
40,oregon,OR
41,pennsylvania,PA
42,puerto rico,PR
43,rhode island,RI
44,south carolina,SC
45,south dakota,SD
46,tennessee,TN
47,texas,TX
48,utah,UT
49,vermont,VT
50,virginia,VA
51,virgin islands,VI
52,washington,WA
53,west virginia,WV
54,wisconsin,WI
55,wyoming,WY
